bins,True_ET,Tight_Final_ET
265.5,377.0,2587.0
266.5,408.0,2471.0
267.5,372.0,2283.0
268.5,370.0,2156.0
269.5,308.0,2047.0
270.5,318.0,1962.0
271.5,298.0,1821.0
272.5,314.0,1809.0
273.5,304.0,1769.0
274.5,296.0,1627.0
275.5,262.0,1573.0
276.5,259.0,1541.0
277.5,255.0,1434.0
278.5,239.0,1373.0
279.5,197.0,1373.0
280.5,222.0,1300.0
281.5,201.0,1247.0
282.5,226.0,1205.0
283.5,206.0,1207.0
284.5,173.0,1087.0
285.5,166.0,1105.0
286.5,155.0,1065.0
287.5,162.0,958.0
288.5,172.0,944.0
289.5,122.0,860.0
290.5,160.0,856.0
291.5,131.0,795.0
292.5,136.0,777.0
293.5,140.0,768.0
294.5,127.0,691.0
295.5,114.0,726.0
296.5,137.0,663.0
297.5,124.0,611.0
298.5,114.0,627.0
299.5,129.0,655.0
300.5,106.0,572.0
301.5,116.0,538.0
302.5,114.0,571.0
303.5,77.0,513.0
304.5,108.0,486.0
305.5,90.0,494.0
306.5,95.0,509.0
307.5,92.0,461.0
308.5,81.0,435.0
309.5,73.0,429.0
310.5,93.0,426.0
311.5,84.0,374.0
312.5,84.0,354.0
313.5,72.0,368.0
314.5,71.0,379.0
315.5,56.0,380.0
316.5,62.0,324.0
317.5,67.0,350.0
318.5,57.0,307.0
319.5,67.0,325.0
320.5,56.0,330.0
321.5,50.0,303.0
322.5,54.0,301.0
323.5,60.0,242.0
324.5,38.0,276.0
325.5,52.0,290.0
326.5,42.0,298.0
327.5,43.0,258.0
328.5,50.0,217.0
329.5,36.0,251.0
330.5,42.0,246.0
331.5,37.0,243.0
332.5,51.0,225.0
333.5,34.0,206.0
334.5,32.0,209.0
335.5,39.0,184.0
336.5,29.0,195.0
337.5,40.0,192.0
338.5,52.0,201.0
339.5,26.0,217.0
340.5,42.0,176.0
341.5,34.0,188.0
342.5,26.0,158.0
343.5,25.0,156.0
344.5,24.0,161.0
345.5,19.0,142.0
346.5,33.0,151.0
347.5,21.0,159.0
348.5,37.0,141.0
349.5,20.0,123.0
350.5,30.0,138.0
351.5,22.0,135.0
352.5,28.0,110.0
353.5,19.0,100.0
354.5,17.0,137.0
355.5,21.0,117.0
356.5,26.0,126.0
357.5,19.0,110.0
358.5,20.0,103.0
359.5,15.0,106.0
360.5,17.0,115.0
361.5,12.0,104.0
362.5,14.0,91.0
363.5,27.0,98.0
364.5,11.0,92.0
365.5,16.0,94.0
366.5,28.0,84.0
367.5,14.0,82.0
368.5,12.0,89.0
369.5,15.0,99.0
370.5,12.0,83.0
371.5,11.0,82.0
372.5,17.0,85.0
373.5,11.0,80.0
374.5,17.0,64.0
375.5,17.0,78.0
