bins,True_ET,Tight_Final_ET
0.5,1.0,10.0
1.5,4.0,13.0
2.5,6.0,14.0
3.5,2.0,24.0
4.5,2.0,43.0
5.5,9.0,47.0
6.5,5.0,53.0
7.5,9.0,64.0
8.5,11.0,75.0
9.5,10.0,61.0
10.5,8.0,81.0
11.5,15.0,90.0
12.5,11.0,84.0
13.5,19.0,107.0
14.5,18.0,112.0
15.5,24.0,107.0
16.5,22.0,111.0
17.5,25.0,123.0
18.5,25.0,140.0
19.5,42.0,168.0
20.5,42.0,163.0
21.5,31.0,131.0
22.5,35.0,174.0
23.5,39.0,183.0
24.5,34.0,179.0
25.5,31.0,195.0
26.5,48.0,191.0
27.5,54.0,227.0
28.5,49.0,203.0
29.5,52.0,244.0
30.5,52.0,242.0
31.5,50.0,256.0
32.5,52.0,306.0
33.5,52.0,274.0
34.5,60.0,278.0
35.5,66.0,290.0
36.5,72.0,292.0
37.5,67.0,302.0
38.5,70.0,311.0
39.5,63.0,334.0
40.5,67.0,339.0
41.5,59.0,376.0
42.5,74.0,407.0
43.5,90.0,368.0
44.5,107.0,384.0
45.5,99.0,436.0
46.5,93.0,453.0
47.5,95.0,452.0
48.5,120.0,426.0
49.5,116.0,466.0
50.5,114.0,486.0
51.5,121.0,551.0
52.5,126.0,505.0
53.5,120.0,554.0
54.5,137.0,545.0
55.5,164.0,576.0
56.5,145.0,598.0
57.5,169.0,588.0
58.5,180.0,604.0
59.5,154.0,666.0
60.5,168.0,673.0
61.5,187.0,698.0
62.5,184.0,721.0
63.5,188.0,745.0
64.5,174.0,727.0
65.5,203.0,801.0
66.5,201.0,853.0
67.5,245.0,824.0
68.5,231.0,805.0
69.5,247.0,914.0
70.5,252.0,941.0
71.5,271.0,955.0
72.5,280.0,1033.0
73.5,250.0,1053.0
74.5,270.0,1108.0
75.5,311.0,1127.0
76.5,344.0,1164.0
77.5,357.0,1224.0
78.5,326.0,1292.0
79.5,364.0,1308.0
80.5,390.0,1342.0
81.5,363.0,1436.0
82.5,403.0,1460.0
83.5,423.0,1518.0
84.5,472.0,1503.0
85.5,453.0,1638.0
86.5,484.0,1718.0
87.5,511.0,1732.0
88.5,495.0,1791.0
89.5,605.0,1926.0
90.5,579.0,2006.0
91.5,573.0,1990.0
92.5,605.0,2117.0
93.5,629.0,2175.0
94.5,657.0,2271.0
95.5,705.0,2361.0
96.5,709.0,2519.0
97.5,724.0,2587.0
98.5,781.0,2747.0
99.5,817.0,2723.0
100.5,867.0,2942.0
101.5,900.0,2995.0
102.5,972.0,3085.0
103.5,1002.0,3205.0
104.5,986.0,3450.0
105.5,1038.0,3517.0
106.5,1144.0,3742.0
107.5,1173.0,3935.0
108.5,1187.0,4012.0
109.5,1197.0,4184.0
110.5,1285.0,4458.0
111.5,1367.0,4435.0
112.5,1433.0,4927.0
113.5,1527.0,5054.0
114.5,1595.0,5205.0
115.5,1626.0,5420.0
116.5,1668.0,5767.0
117.5,1767.0,5919.0
118.5,1928.0,6304.0
119.5,1909.0,6642.0
120.5,1966.0,6955.0
121.5,2057.0,7138.0
122.5,2135.0,7577.0
123.5,2250.0,7848.0
124.5,2441.0,8106.0
125.5,2474.0,8686.0
126.5,2443.0,8943.0
127.5,2713.0,9487.0
128.5,2757.0,9871.0
129.5,2941.0,10363.0
130.5,3092.0,10768.0
131.5,3184.0,11306.0
132.5,3351.0,11752.0
133.5,3459.0,12559.0
134.5,3635.0,13049.0
135.5,3732.0,13437.0
136.5,4014.0,13935.0
137.5,4108.0,14938.0
138.5,4255.0,15813.0
139.5,4469.0,16514.0
140.5,4512.0,17006.0
141.5,4983.0,18140.0
142.5,5143.0,19049.0
143.5,5212.0,19791.0
144.5,5493.0,20714.0
145.5,5684.0,21645.0
146.5,5871.0,22407.0
147.5,6381.0,23729.0
148.5,6459.0,24852.0
149.5,7034.0,26134.0
150.5,7126.0,27263.0
151.5,7503.0,28348.0
152.5,7635.0,29808.0
153.5,8093.0,30966.0
154.5,8373.0,32134.0
155.5,8943.0,34087.0
156.5,9303.0,35420.0
157.5,9636.0,37123.0
158.5,10233.0,38580.0
159.5,10737.0,40162.0
160.5,11023.0,42003.0
161.5,11578.0,43598.0
162.5,11969.0,45239.0
163.5,12668.0,47557.0
164.5,13185.0,49546.0
165.5,13842.0,51614.0
166.5,14464.0,53208.0
167.5,15226.0,55922.0
168.5,16050.0,58087.0
169.5,16665.0,59947.0
170.5,17508.0,62193.0
