bins,True_ET,Tight_Final_ET
0.5,0.0,2.0
1.5,3.0,2.0
2.5,0.0,4.0
3.5,1.0,3.0
4.5,1.0,8.0
5.5,1.0,3.0
6.5,2.0,17.0
7.5,1.0,11.0
8.5,4.0,14.0
9.5,8.0,12.0
10.5,5.0,15.0
11.5,3.0,16.0
12.5,3.0,13.0
13.5,4.0,16.0
14.5,3.0,26.0
15.5,5.0,33.0
16.5,7.0,31.0
17.5,5.0,30.0
18.5,3.0,37.0
19.5,8.0,34.0
20.5,9.0,33.0
21.5,9.0,43.0
22.5,5.0,30.0
23.5,6.0,26.0
24.5,14.0,42.0
25.5,11.0,43.0
26.5,9.0,38.0
27.5,7.0,50.0
28.5,9.0,62.0
29.5,4.0,44.0
30.5,10.0,55.0
31.5,14.0,51.0
32.5,10.0,65.0
33.5,13.0,61.0
34.5,7.0,70.0
35.5,14.0,56.0
36.5,16.0,58.0
37.5,19.0,72.0
38.5,10.0,55.0
39.5,16.0,73.0
40.5,18.0,87.0
41.5,19.0,79.0
42.5,19.0,73.0
43.5,18.0,73.0
44.5,9.0,70.0
45.5,13.0,82.0
46.5,21.0,83.0
47.5,14.0,95.0
48.5,18.0,94.0
49.5,16.0,81.0
50.5,19.0,93.0
51.5,20.0,105.0
52.5,12.0,79.0
53.5,23.0,91.0
54.5,21.0,97.0
55.5,18.0,93.0
56.5,36.0,97.0
57.5,23.0,109.0
58.5,14.0,108.0
59.5,25.0,121.0
60.5,24.0,106.0
61.5,27.0,121.0
62.5,24.0,106.0
63.5,35.0,111.0
64.5,33.0,125.0
65.5,37.0,130.0
66.5,45.0,137.0
67.5,25.0,118.0
68.5,40.0,140.0
69.5,29.0,151.0
70.5,24.0,137.0
71.5,48.0,143.0
72.5,37.0,140.0
73.5,39.0,136.0
74.5,38.0,166.0
75.5,32.0,183.0
76.5,35.0,166.0
77.5,40.0,168.0
78.5,43.0,138.0
79.5,48.0,168.0
80.5,39.0,168.0
81.5,46.0,164.0
82.5,36.0,175.0
83.5,50.0,184.0
84.5,54.0,158.0
85.5,42.0,198.0
86.5,46.0,199.0
87.5,60.0,221.0
88.5,51.0,195.0
89.5,46.0,219.0
90.5,61.0,188.0
91.5,68.0,208.0
92.5,54.0,221.0
93.5,58.0,221.0
94.5,51.0,232.0
95.5,53.0,211.0
96.5,81.0,260.0
97.5,56.0,235.0
98.5,79.0,247.0
99.5,59.0,238.0
100.5,75.0,262.0
101.5,80.0,287.0
102.5,79.0,256.0
103.5,81.0,270.0
104.5,66.0,276.0
105.5,68.0,244.0
106.5,89.0,295.0
107.5,95.0,294.0
108.5,95.0,346.0
109.5,98.0,297.0
110.5,84.0,321.0
111.5,92.0,305.0
112.5,96.0,322.0
113.5,111.0,289.0
114.5,111.0,310.0
115.5,107.0,355.0
116.5,111.0,359.0
117.5,136.0,339.0
118.5,129.0,355.0
119.5,125.0,377.0
120.5,115.0,365.0
121.5,145.0,418.0
122.5,139.0,383.0
123.5,163.0,454.0
124.5,143.0,407.0
125.5,153.0,417.0
126.5,156.0,449.0
127.5,141.0,476.0
128.5,160.0,459.0
129.5,154.0,481.0
130.5,159.0,482.0
131.5,182.0,498.0
132.5,169.0,513.0
133.5,176.0,509.0
134.5,191.0,551.0
135.5,208.0,568.0
136.5,191.0,544.0
137.5,178.0,555.0
138.5,210.0,582.0
139.5,205.0,615.0
140.5,212.0,625.0
141.5,231.0,647.0
142.5,243.0,610.0
143.5,255.0,635.0
144.5,234.0,661.0
145.5,252.0,729.0
146.5,284.0,737.0
147.5,277.0,684.0
148.5,289.0,718.0
149.5,274.0,760.0
150.5,304.0,821.0
151.5,291.0,813.0
152.5,324.0,805.0
153.5,335.0,818.0
154.5,332.0,819.0
155.5,369.0,920.0
156.5,337.0,868.0
157.5,369.0,930.0
158.5,363.0,913.0
159.5,444.0,976.0
160.5,392.0,1018.0
161.5,419.0,1066.0
162.5,441.0,1038.0
163.5,437.0,1014.0
164.5,476.0,1083.0
165.5,522.0,1111.0
166.5,496.0,1205.0
167.5,482.0,1187.0
168.5,548.0,1319.0
169.5,501.0,1306.0
170.5,537.0,1306.0
171.5,541.0,1360.0
172.5,543.0,1378.0
173.5,595.0,1458.0
174.5,584.0,1486.0
175.5,638.0,1500.0
176.5,646.0,1528.0
177.5,709.0,1576.0
178.5,689.0,1648.0
179.5,739.0,1644.0
180.5,751.0,1723.0
181.5,745.0,1697.0
182.5,768.0,1868.0
183.5,824.0,1842.0
184.5,833.0,1966.0
185.5,807.0,1931.0
186.5,877.0,2085.0
187.5,935.0,2187.0
188.5,932.0,2150.0
189.5,1004.0,2239.0
190.5,1025.0,2277.0
191.5,1022.0,2255.0
192.5,1026.0,2460.0
193.5,1170.0,2497.0
194.5,1133.0,2599.0
195.5,1132.0,2672.0
196.5,1179.0,2732.0
197.5,1226.0,2756.0
198.5,1272.0,2965.0
199.5,1333.0,3051.0
200.5,1340.0,3037.0
201.5,1382.0,3178.0
202.5,1435.0,3452.0
203.5,1468.0,3438.0
204.5,1468.0,3648.0
205.5,1539.0,3728.0
206.5,1575.0,3754.0
207.5,1628.0,3898.0
208.5,1583.0,4006.0
209.5,1735.0,4167.0
210.5,1759.0,4316.0
211.5,1876.0,4517.0
212.5,1874.0,4651.0
213.5,1995.0,4718.0
214.5,2038.0,5003.0
215.5,2048.0,5143.0
216.5,2094.0,5255.0
217.5,2220.0,5617.0
218.5,2259.0,5646.0
219.5,2298.0,5850.0
220.5,2450.0,6158.0
221.5,2419.0,6361.0
222.5,2454.0,6501.0
223.5,2584.0,6803.0
224.5,2831.0,6985.0
225.5,2824.0,7319.0
226.5,2888.0,7549.0
227.5,2941.0,7758.0
228.5,3000.0,8215.0
229.5,3189.0,8324.0
230.5,3271.0,8711.0
231.5,3291.0,9119.0
232.5,3481.0,9427.0
233.5,3510.0,9782.0
234.5,3661.0,10083.0
235.5,3727.0,10579.0
236.5,3913.0,10879.0
237.5,4004.0,11270.0
238.5,4104.0,11681.0
239.5,4223.0,12231.0
240.5,4484.0,12510.0
241.5,4601.0,12911.0
242.5,4579.0,13661.0
243.5,4826.0,13909.0
244.5,5037.0,14409.0
245.5,5123.0,15205.0
246.5,5251.0,15583.0
247.5,5450.0,16152.0
248.5,5635.0,16833.0
249.5,5864.0,17404.0
250.5,5993.0,17986.0
251.5,6182.0,18950.0
252.5,6434.0,19307.0
253.5,6652.0,20107.0
254.5,7043.0,20971.0
255.5,7018.0,21741.0
