bins,True_ET,Tight_Final_ET
0.5,41126.0,35767.0
1.5,123688.0,105040.0
2.5,206513.0,174511.0
3.5,288454.0,245891.0
4.5,372435.0,313866.0
5.5,454146.0,382533.0
6.5,539606.0,449279.0
7.5,625612.0,516923.0
8.5,708046.0,584792.0
9.5,796143.0,649529.0
10.5,882933.0,715401.0
11.5,967304.0,781196.0
12.5,1052842.0,844240.0
13.5,1138919.0,907187.0
14.5,1221047.0,969766.0
15.5,1304118.0,1027246.0
16.5,1385298.0,1088517.0
17.5,1463199.0,1145434.0
18.5,1538816.0,1202091.0
19.5,1608476.0,1256736.0
20.5,1679757.0,1313958.0
21.5,1743344.0,1364749.0
22.5,1807493.0,1414354.0
23.5,1868641.0,1465121.0
24.5,1920646.0,1513497.0
25.5,1972925.0,1559212.0
26.5,2020232.0,1603047.0
27.5,2065196.0,1645417.0
28.5,2106908.0,1687309.0
29.5,2142091.0,1727300.0
30.5,2177032.0,1762412.0
31.5,2205710.0,1798096.0
32.5,2233804.0,1831529.0
33.5,2253121.0,1866314.0
34.5,2273959.0,1895063.0
35.5,2292367.0,1922026.0
36.5,2303111.0,1946123.0
37.5,2312548.0,1970167.0
38.5,2322649.0,1992616.0
39.5,2325779.0,2009016.0
40.5,2329372.0,2029435.0
41.5,2326627.0,2047064.0
42.5,2323277.0,2061421.0
43.5,2321206.0,2073202.0
44.5,2314743.0,2082679.0
45.5,2302728.0,2091026.0
46.5,2294595.0,2099108.0
47.5,2278623.0,2106003.0
48.5,2268358.0,2106822.0
49.5,2250316.0,2106354.0
50.5,2233283.0,2109778.0
51.5,2212657.0,2107067.0
52.5,2196714.0,2102637.0
53.5,2175528.0,2097341.0
54.5,2150833.0,2091194.0
55.5,2127015.0,2085127.0
56.5,2106050.0,2077390.0
57.5,2078678.0,2064247.0
58.5,2055228.0,2053892.0
59.5,2030557.0,2041118.0
60.5,2001536.0,2029899.0
61.5,1976122.0,2015512.0
62.5,1951449.0,1995176.0
63.5,1921268.0,1983229.0
64.5,1887989.0,1962161.0
65.5,1861706.0,1943319.0
66.5,1834357.0,1926876.0
67.5,1805232.0,1905051.0
68.5,1777530.0,1885096.0
69.5,1748471.0,1863632.0
70.5,1717266.0,1841679.0
71.5,1688571.0,1819497.0
72.5,1659412.0,1796374.0
73.5,1630103.0,1773445.0
74.5,1599881.0,1750295.0
75.5,1573220.0,1724564.0
76.5,1542990.0,1698255.0
77.5,1517691.0,1674648.0
78.5,1485186.0,1646780.0
79.5,1453874.0,1624688.0
80.5,1428635.0,1597330.0
81.5,1399277.0,1572189.0
82.5,1372355.0,1544672.0
83.5,1344539.0,1521042.0
84.5,1317304.0,1492006.0
85.5,1291851.0,1467990.0
86.5,1264892.0,1440980.0
87.5,1237834.0,1416683.0
88.5,1210013.0,1389714.0
89.5,1184329.0,1364235.0
90.5,1161308.0,1338332.0
91.5,1134002.0,1312941.0
