bins,True_ET,Tight_Final_ET
227.5,6297.0,6660.0
228.5,6332.0,6802.0
229.5,6188.0,6770.0
230.5,6096.0,6551.0
231.5,6049.0,6390.0
232.5,5858.0,6323.0
233.5,5771.0,6307.0
234.5,5731.0,6165.0
235.5,5782.0,6179.0
236.5,5531.0,6035.0
237.5,5491.0,5963.0
238.5,5446.0,5840.0
239.5,5356.0,5686.0
240.5,5321.0,5625.0
241.5,5088.0,5515.0
242.5,5010.0,5478.0
243.5,4997.0,5457.0
244.5,4878.0,5143.0
245.5,4933.0,5326.0
246.5,4783.0,5079.0
247.5,4669.0,5085.0
248.5,4687.0,4976.0
249.5,4441.0,4936.0
250.5,4389.0,4795.0
251.5,4444.0,4794.0
252.5,4176.0,4700.0
253.5,4328.0,4700.0
254.5,4226.0,4517.0
255.5,4003.0,4522.0
256.5,4178.0,4382.0
257.5,3995.0,4348.0
258.5,3905.0,4327.0
259.5,3919.0,4073.0
260.5,3881.0,4213.0
261.5,3699.0,4056.0
262.5,3690.0,4117.0
263.5,3679.0,3884.0
264.5,3652.0,4045.0
265.5,3578.0,3880.0
266.5,3455.0,3836.0
267.5,3521.0,3728.0
268.5,3458.0,3612.0
269.5,3360.0,3566.0
270.5,3280.0,3591.0
271.5,3361.0,3486.0
272.5,3194.0,3535.0
273.5,3156.0,3446.0
274.5,3074.0,3366.0
275.5,3091.0,3297.0
276.5,3098.0,3362.0
277.5,2997.0,3245.0
278.5,2944.0,3192.0
279.5,2893.0,3197.0
280.5,2903.0,3146.0
281.5,2893.0,3081.0
282.5,2853.0,3012.0
283.5,2768.0,2958.0
284.5,2727.0,2956.0
285.5,2696.0,2986.0
286.5,2648.0,2962.0
287.5,2688.0,2891.0
288.5,2554.0,2701.0
289.5,2516.0,2744.0
290.5,2565.0,2717.0
291.5,2596.0,2681.0
292.5,2426.0,2703.0
293.5,2391.0,2660.0
294.5,2296.0,2547.0
295.5,2435.0,2550.0
296.5,2277.0,2574.0
297.5,2260.0,2494.0
298.5,2195.0,2396.0
299.5,2198.0,2487.0
300.5,2264.0,2310.0
301.5,2159.0,2425.0
302.5,2183.0,2289.0
303.5,2097.0,2251.0
304.5,1974.0,2204.0
305.5,2023.0,2195.0
306.5,2021.0,2170.0
307.5,2025.0,2148.0
308.5,1956.0,2153.0
309.5,1975.0,2094.0
310.5,1925.0,2041.0
311.5,1919.0,2002.0
312.5,1912.0,1990.0
313.5,1821.0,2082.0
314.5,1785.0,1924.0
315.5,1832.0,1913.0
316.5,1797.0,1910.0
317.5,1703.0,1852.0
318.5,1810.0,1820.0
319.5,1728.0,1765.0
320.5,1762.0,1777.0
321.5,1609.0,1734.0
322.5,1637.0,1786.0
323.5,1676.0,1742.0
324.5,1662.0,1720.0
325.5,1566.0,1655.0
326.5,1587.0,1655.0
327.5,1518.0,1658.0
328.5,1527.0,1600.0
329.5,1553.0,1676.0
330.5,1546.0,1663.0
331.5,1456.0,1504.0
332.5,1488.0,1589.0
333.5,1561.0,1477.0
334.5,1396.0,1531.0
