bins,True_ET,Tight_Final_ET
265.5,193.0,375.0
266.5,210.0,381.0
267.5,190.0,415.0
268.5,220.0,418.0
269.5,204.0,414.0
270.5,214.0,439.0
271.5,210.0,432.0
272.5,216.0,445.0
273.5,201.0,458.0
274.5,248.0,460.0
275.5,244.0,488.0
276.5,233.0,492.0
277.5,252.0,467.0
278.5,267.0,525.0
279.5,256.0,517.0
280.5,262.0,516.0
281.5,272.0,571.0
282.5,286.0,530.0
283.5,283.0,569.0
284.5,317.0,563.0
285.5,319.0,623.0
286.5,310.0,614.0
287.5,315.0,596.0
288.5,304.0,681.0
289.5,337.0,629.0
290.5,355.0,713.0
291.5,343.0,706.0
292.5,346.0,760.0
293.5,361.0,726.0
294.5,375.0,713.0
295.5,385.0,765.0
296.5,365.0,775.0
297.5,427.0,825.0
298.5,408.0,823.0
299.5,411.0,870.0
300.5,402.0,882.0
301.5,472.0,920.0
302.5,471.0,892.0
303.5,466.0,955.0
304.5,474.0,1001.0
305.5,457.0,1012.0
306.5,473.0,1069.0
307.5,479.0,1098.0
308.5,508.0,1088.0
309.5,506.0,1074.0
310.5,539.0,1148.0
311.5,560.0,1198.0
312.5,569.0,1166.0
313.5,607.0,1252.0
314.5,548.0,1328.0
315.5,597.0,1326.0
316.5,635.0,1384.0
317.5,595.0,1395.0
318.5,645.0,1415.0
319.5,665.0,1555.0
320.5,652.0,1549.0
321.5,676.0,1610.0
322.5,743.0,1667.0
323.5,726.0,1664.0
324.5,747.0,1701.0
325.5,731.0,1760.0
326.5,813.0,1834.0
327.5,794.0,1864.0
328.5,817.0,1904.0
329.5,846.0,2107.0
330.5,845.0,2091.0
331.5,878.0,2189.0
332.5,893.0,2198.0
333.5,911.0,2257.0
334.5,929.0,2334.0
335.5,909.0,2510.0
336.5,967.0,2529.0
337.5,951.0,2535.0
338.5,1025.0,2668.0
339.5,1043.0,2773.0
340.5,1090.0,2683.0
341.5,1041.0,2891.0
342.5,1032.0,3000.0
343.5,1242.0,3111.0
344.5,1244.0,3109.0
345.5,1303.0,3348.0
346.5,1306.0,3410.0
347.5,1220.0,3519.0
348.5,1307.0,3512.0
349.5,1355.0,3809.0
350.5,1406.0,3809.0
351.5,1463.0,3988.0
352.5,1440.0,3865.0
353.5,1521.0,4207.0
354.5,1457.0,4274.0
355.5,1575.0,4404.0
356.5,1601.0,4530.0
357.5,1670.0,4739.0
358.5,1742.0,4757.0
359.5,1659.0,4987.0
360.5,1879.0,5155.0
361.5,1827.0,5116.0
362.5,1875.0,5368.0
363.5,1986.0,5608.0
364.5,2021.0,5734.0
365.5,2121.0,5771.0
366.5,2193.0,5968.0
367.5,2184.0,6001.0
368.5,2291.0,6226.0
369.5,2253.0,6473.0
370.5,2329.0,6509.0
371.5,2438.0,6755.0
372.5,2514.0,6974.0
373.5,2526.0,7167.0
374.5,2642.0,7235.0
375.5,2708.0,7521.0
376.5,2877.0,7598.0
377.5,3044.0,7880.0
378.5,3048.0,7884.0
379.5,3217.0,8060.0
380.5,3292.0,8125.0
381.5,3361.0,8374.0
382.5,3645.0,8544.0
383.5,3710.0,8729.0
384.5,3756.0,9020.0
385.5,3991.0,9192.0
386.5,4092.0,9328.0
387.5,4268.0,9508.0
388.5,4449.0,9724.0
389.5,4585.0,9705.0
390.5,4815.0,10020.0
391.5,5123.0,10183.0
392.5,5220.0,10140.0
393.5,5564.0,10520.0
394.5,5973.0,10625.0
395.5,6404.0,10702.0
396.5,6756.0,10947.0
397.5,7229.0,11366.0
398.5,8003.0,11380.0
399.5,9434.0,11364.0
400.5,19595.0,11733.0
401.5,20977.0,11582.0
402.5,21744.0,11961.0
403.5,22257.0,11971.0
404.5,22558.0,12296.0
405.5,22643.0,12218.0
406.5,22454.0,12565.0
407.5,22532.0,12350.0
408.5,22447.0,12456.0
409.5,22603.0,12697.0
410.5,22387.0,13063.0
411.5,22644.0,12920.0
412.5,22190.0,13072.0
413.5,21999.0,13071.0
414.5,22154.0,13157.0
415.5,21843.0,13299.0
416.5,21494.0,13336.0
417.5,21424.0,13337.0
418.5,21255.0,13371.0
419.5,21419.0,13266.0
420.5,20641.0,13516.0
421.5,20496.0,13468.0
422.5,20296.0,13312.0
423.5,19752.0,13710.0
424.5,19878.0,13389.0
425.5,19497.0,13516.0
426.5,19423.0,13600.0
427.5,19084.0,13445.0
428.5,18946.0,13274.0
