bins,True_ET,Tight_Final_ET
0.5,6915323.0,45735.0
1.5,5602124.0,136753.0
2.5,4696915.0,225850.0
3.5,4160302.0,315479.0
4.5,3744739.0,401854.0
5.5,3395572.0,487691.0
6.5,3093191.0,569389.0
7.5,2823959.0,649341.0
8.5,2581795.0,725559.0
9.5,2364251.0,800970.0
10.5,2164443.0,868842.0
11.5,1984332.0,936529.0
12.5,1823693.0,996639.0
13.5,1674533.0,1054671.0
14.5,1537742.0,1108136.0
15.5,1414792.0,1154498.0
16.5,1302632.0,1198785.0
17.5,1200070.0,1235596.0
18.5,1104537.0,1269519.0
19.5,1019348.0,1297184.0
20.5,941082.0,1324365.0
21.5,866342.0,1343352.0
22.5,800872.0,1359391.0
23.5,738518.0,1370412.0
24.5,682534.0,1377749.0
25.5,631094.0,1381832.0
26.5,582776.0,1381576.0
27.5,538941.0,1378272.0
28.5,497533.0,1369161.0
29.5,461245.0,1360286.0
30.5,427335.0,1347762.0
31.5,394875.0,1332035.0
32.5,364468.0,1312907.0
33.5,337718.0,1291627.0
34.5,313901.0,1271782.0
35.5,290869.0,1247294.0
36.5,270041.0,1220121.0
37.5,250212.0,1189655.0
38.5,231662.0,1163475.0
39.5,215018.0,1134319.0
40.5,200121.0,1104309.0
41.5,185363.0,1072601.0
42.5,173087.0,1041224.0
43.5,160212.0,1011300.0
44.5,148820.0,977748.0
45.5,138674.0,944519.0
46.5,128629.0,909568.0
47.5,120291.0,880790.0
48.5,111095.0,847397.0
49.5,104411.0,815915.0
50.5,96844.0,787068.0
51.5,90173.0,753729.0
52.5,84111.0,722993.0
53.5,78403.0,694389.0
54.5,73547.0,663732.0
55.5,68489.0,638176.0
56.5,64261.0,610286.0
57.5,60013.0,583628.0
58.5,55816.0,556643.0
59.5,52371.0,532671.0
60.5,49219.0,506128.0
61.5,46117.0,483023.0
62.5,42866.0,459973.0
63.5,40050.0,438137.0
64.5,38270.0,418260.0
65.5,35553.0,396771.0
66.5,33558.0,377082.0
67.5,31419.0,357507.0
68.5,29337.0,339381.0
69.5,27610.0,323349.0
70.5,26109.0,306344.0
71.5,24183.0,289740.0
72.5,23094.0,274959.0
73.5,21476.0,259952.0
74.5,20286.0,247124.0
75.5,19102.0,233346.0
76.5,18268.0,221318.0
77.5,16843.0,208652.0
78.5,16211.0,197125.0
79.5,14877.0,187284.0
80.5,14160.0,176377.0
81.5,13532.0,166855.0
82.5,12717.0,157263.0
83.5,11984.0,148549.0
84.5,11438.0,140402.0
85.5,10843.0,133355.0
86.5,10136.0,125325.0
87.5,9745.0,119073.0
88.5,8999.0,111155.0
89.5,8623.0,105078.0
90.5,8255.0,99549.0
91.5,7643.0,93431.0
92.5,7214.0,88321.0
93.5,6797.0,83311.0
94.5,6670.0,78556.0
95.5,6252.0,73945.0
96.5,6000.0,69904.0
97.5,5800.0,66134.0
98.5,5362.0,62170.0
99.5,5087.0,58740.0
100.5,4925.0,54853.0
101.5,4400.0,51715.0
102.5,4341.0,49092.0
103.5,4136.0,46468.0
104.5,4117.0,43416.0
105.5,3744.0,41467.0
106.5,3627.0,39141.0
107.5,3413.0,36573.0
108.5,3195.0,34908.0
109.5,3084.0,32863.0
110.5,2975.0,30592.0
111.5,2921.0,29089.0
112.5,2670.0,27092.0
113.5,2497.0,25643.0
114.5,2428.0,24572.0
115.5,2305.0,22948.0
116.5,2272.0,22082.0
117.5,2164.0,20529.0
118.5,2060.0,19569.0
119.5,1919.0,18477.0
120.5,1862.0,17514.0
121.5,1828.0,16384.0
122.5,1679.0,15663.0
123.5,1556.0,14587.0
124.5,1575.0,13764.0
125.5,1497.0,13050.0
126.5,1476.0,12702.0
127.5,1338.0,11853.0
128.5,1286.0,11285.0
129.5,1279.0,10567.0
130.5,1224.0,10112.0
131.5,1126.0,9556.0
132.5,1121.0,9086.0
133.5,1066.0,8806.0
134.5,1044.0,8228.0
135.5,925.0,7713.0
136.5,927.0,7442.0
137.5,911.0,6959.0
138.5,859.0,6641.0
139.5,820.0,6315.0
140.5,761.0,6034.0
141.5,748.0,5590.0
142.5,741.0,5393.0
143.5,741.0,4948.0
144.5,673.0,4864.0
145.5,629.0,4831.0
146.5,637.0,4538.0
147.5,607.0,4247.0
148.5,575.0,4005.0
149.5,554.0,3914.0
150.5,503.0,3626.0
151.5,502.0,3465.0
152.5,504.0,3240.0
153.5,472.0,3214.0
154.5,430.0,3052.0
155.5,464.0,2815.0
156.5,468.0,2882.0
157.5,374.0,2679.0
158.5,404.0,2565.0
159.5,355.0,2371.0
