2.559652175683124753e-01 3.975010039700064834e-01 2.795069694519042969e+00
2.461135998020253235e-01 2.484343282229834471e-01 2.441637039184570312e+00
2.430959879213077934e-01 2.455711701366805333e-01 2.421695232391357422e+00
2.403665814873013062e-01 2.434599839957656275e-01 2.483745813369750977e+00
2.377424724795509647e-01 2.419444555436476574e-01 2.521136760711669922e+00
2.349657385022776990e-01 2.406963542768150444e-01 2.427391052246093750e+00
2.319330129843608646e-01 2.393842171205330382e-01 2.491835355758666992e+00
2.285359112383706925e-01 2.380613485972086496e-01 2.481873035430908203e+00
2.245027985415893879e-01 2.361166307627521888e-01 2.506059646606445312e+00
2.196564627237886924e-01 2.339242846090069661e-01 2.455689430236816406e+00
2.139073151881527857e-01 2.307043769050808601e-01 2.466124773025512695e+00
2.070445547121598784e-01 2.278352003947944349e-01 2.495839595794677734e+00
1.991590631615584028e-01 2.250819849107422443e-01 2.501330375671386719e+00
1.903918392465878962e-01 2.213615061371189685e-01 2.451374292373657227e+00
1.808375404265782360e-01 2.178576186204412291e-01 2.473091125488281250e+00
1.708126648184853380e-01 2.139819129004346954e-01 2.514298915863037109e+00
